Entity,Code,Year,CO₂ emissions per capita
Afghanistan,AFG,2014,0.26523322
Afghanistan,AFG,2024,0.25384834
Africa,OWID_AFR,2014,1.1463208
Africa,OWID_AFR,2024,0.99329597
Albania,ALB,2014,2.091259
Albania,ALB,2024,1.5919901
Algeria,DZA,2014,3.8881397
Algeria,DZA,2024,4.233817
Andorra,AND,2014,6.2594266
Andorra,AND,2024,5.1816607
Angola,AGO,2014,0.9606558
Angola,AGO,2024,0.5894967
Anguilla,AIA,2014,8.794879
Anguilla,AIA,2024,10.126855
Antigua and Barbuda,ATG,2014,6.396648
Antigua and Barbuda,ATG,2024,7.092406
Argentina,ARG,2014,4.3821793
Argentina,ARG,2024,3.7434063
Armenia,ARM,2014,1.917619
Armenia,ARM,2024,2.498691
Aruba,ABW,2014,8.435128
Aruba,ABW,2024,8.518487
Asia,OWID_ASI,2014,4.2746906
Asia,OWID_ASI,2024,4.867817
Asia (excl. China and India),,2014,3.93967
Asia (excl. China and India),,2024,4.087244
Australia,AUS,2014,16.639103
Australia,AUS,2024,14.477199
Austria,AUT,2014,7.5058665
Austria,AUT,2024,6.180112
Azerbaijan,AZE,2014,3.5660133
Azerbaijan,AZE,2024,3.8533201
Bahamas,BHS,2014,5.395677
Bahamas,BHS,2024,7.64968
Bahrain,BHR,2014,23.590342
Bahrain,BHR,2024,24.270082
Bangladesh,BGD,2014,0.4276385
Bangladesh,BGD,2024,0.6240862
Barbados,BRB,2014,4.9132366
Barbados,BRB,2024,4.8328743
Belarus,BLR,2014,6.7245016
Belarus,BLR,2024,6.163221
Belgium,BEL,2014,8.660123
Belgium,BEL,2024,7.2798314
Belize,BLZ,2014,1.4385759
Belize,BLZ,2024,1.9085852
Benin,BEN,2014,0.4328207
Benin,BEN,2024,0.4194466
Bermuda,BMU,2014,10.493115
Bermuda,BMU,2024,8.506047
Bhutan,BTN,2014,1.8172723
Bhutan,BTN,2024,2.0939395
Bolivia,BOL,2014,1.8343189
Bolivia,BOL,2024,2.3127308
Bonaire Sint Eustatius and Saba,BES,2014,4.787391
Bonaire Sint Eustatius and Saba,BES,2024,4.947458
Bosnia and Herzegovina,BIH,2014,5.4173074
Bosnia and Herzegovina,BIH,2024,6.1391783
Botswana,BWA,2014,3.1537738
Botswana,BWA,2024,2.9596071
Brazil,BRA,2014,2.7814436
Brazil,BRA,2024,2.2783718
British Virgin Islands,VGB,2014,6.5531707
British Virgin Islands,VGB,2024,4.873842
Brunei,BRN,2014,21.189787
Brunei,BRN,2024,26.046202
Bulgaria,BGR,2014,6.253115
Bulgaria,BGR,2024,4.6793866
Burkina Faso,BFA,2014,0.15730137
Burkina Faso,BFA,2024,0.27634817
Burundi,BDI,2014,0.03288268
Burundi,BDI,2024,0.065253265
Cambodia,KHM,2014,0.43530843
Cambodia,KHM,2024,1.2405994
Cameroon,CMR,2014,0.39778858
Cameroon,CMR,2024,0.33071235
Canada,CAN,2014,15.853792
Canada,CAN,2024,13.419917
Cape Verde,CPV,2014,0.95831233
Cape Verde,CPV,2024,1.1312839
Central African Republic,CAF,2014,0.028530968
Central African Republic,CAF,2024,0.07403937
Chad,TCD,2014,0.15383954
Chad,TCD,2024,0.13948385
Chile,CHL,2014,4.3431134
Chile,CHL,2024,3.983124
China,CHN,2014,7.187588
China,CHN,2024,8.65839
Colombia,COL,2014,1.9766101
Colombia,COL,2024,1.752047
Comoros,COM,2014,0.23173186
Comoros,COM,2024,0.6365447
